,yr,mo,dy,date,time,st,mag,inj,fat,slat,slon,elat,elon,len,wid,ns,sn,sg
3,1950,1,13,1950-01-13,05:25:00,AR,3,1,1,34.4,-94.37,0.0,0.0,0.6,17,1,1,1
6,1950,1,26,1950-01-26,18:00:00,TX,2,2,0,26.88,-98.12,26.88,-98.05,4.7,133,1,1,1
7,1950,2,11,1950-02-11,13:10:00,TX,2,0,0,29.42,-95.25,29.52,-95.13,9.9,400,1,1,1
8,1950,2,11,1950-02-11,13:50:00,TX,3,12,1,29.67,-95.05,29.83,-95.0,12.0,1000,1,1,1
9,1950,2,11,1950-02-11,21:00:00,TX,2,5,0,32.35,-95.2,32.42,-95.2,4.6,100,1,1,1
10,1950,2,11,1950-02-11,23:55:00,TX,2,6,0,32.98,-94.63,33.0,-94.7,4.5,67,1,1,1
11,1950,2,12,1950-02-12,00:30:00,TX,2,8,1,33.33,-94.42,33.45,-94.42,8.0,833,1,1,1
12,1950,2,12,1950-02-12,01:15:00,TX,1,0,0,32.08,-98.35,32.1,-98.33,2.3,233,1,1,1
13,1950,2,12,1950-02-12,06:10:00,TX,2,0,0,31.52,-96.55,31.57,-96.55,3.4,100,1,1,1
14,1950,2,12,1950-02-12,11:57:00,TX,1,32,0,31.8,-94.2,31.88,-94.12,7.7,100,1,1,1
15,1950,2,12,1950-02-12,12:00:00,MS,2,2,3,34.6,-89.12,0.0,0.0,0.1,10,1,1,1
16,1950,2,12,1950-02-12,12:00:00,MS,1,0,0,34.6,-89.12,0.0,0.0,2.0,10,1,1,1
17,1950,2,12,1950-02-12,12:00:00,TX,3,15,3,31.8,-94.2,31.8,-94.18,1.9,50,1,1,1
18,1950,2,12,1950-02-12,12:30:00,AR,2,0,0,34.48,-92.4,0.0,0.0,0.1,100,1,1,1
22,1950,2,12,1950-02-12,15:00:00,AR,2,0,0,33.27,-92.95,33.35,-92.95,5.7,100,1,1,1
24,1950,2,13,1950-02-13,01:00:00,TN,1,8,0,35.35,-89.77,0.0,0.0,0.2,10,1,1,1
25,1950,2,13,1950-02-13,02:00:00,TN,2,1,9,35.75,-89.48,0.0,0.0,0.2,10,1,1,1
26,1950,2,27,1950-02-27,10:20:00,OK,2,0,0,35.55,-97.6,0.0,0.0,2.0,50,1,1,1
27,1950,3,1,1950-03-01,02:30:00,MS,1,0,0,32.5,-88.85,0.0,0.0,0.1,10,1,1,1
32,1950,3,26,1950-03-26,19:30:00,AR,2,3,0,34.12,-93.07,34.32,-92.88,17.4,150,1,1,1
33,1950,3,26,1950-03-26,19:31:00,AR,3,1,0,36.15,-91.83,36.2,-91.75,5.7,200,1,1,1
34,1950,3,26,1950-03-26,20:30:00,AR,2,7,0,34.7,-92.35,34.8,-92.22,10.4,600,1,1,1
35,1950,3,26,1950-03-26,21:15:00,AR,3,20,0,34.98,-91.73,35.08,-91.5,14.9,1760,1,1,1
36,1950,3,26,1950-03-26,23:30:00,AR,2,2,0,35.1,-91.4,35.15,-91.33,5.4,833,1,1,1
37,1950,3,27,1950-03-27,03:00:00,OK,2,0,0,34.85,-95.75,0.0,0.0,0.1,77,1,1,1
38,1950,3,27,1950-03-27,05:00:00,MS,2,2,1,33.17,-90.55,0.0,0.0,0.1,10,1,1,1
40,1950,3,27,1950-03-27,07:30:00,MS,2,0,0,33.13,-89.57,33.25,-89.42,11.9,10,1,1,1
41,1950,3,27,1950-03-27,07:45:00,MS,2,7,0,32.28,-90.27,32.98,-89.82,59.3,50,1,1,1
42,1950,3,27,1950-03-27,07:45:00,MS,2,6,0,32.28,-90.27,32.48,-89.78,31.9,50,1,1,1
44,1950,3,27,1950-03-27,08:45:00,MS,2,0,0,33.67,-88.78,33.72,-88.73,4.7,10,1,1,1
45,1950,3,27,1950-03-27,11:00:00,MS,1,2,0,34.73,-88.27,0.0,0.0,0.1,10,1,1,1
46,1950,3,27,1950-03-27,15:00:00,TN,1,0,0,35.68,-85.77,0.0,0.0,0.2,10,1,1,1
48,1950,4,2,1950-04-02,15:30:00,AR,3,8,1,35.75,-91.22,0.0,0.0,2.5,10,1,1,1
49,1950,4,2,1950-04-02,18:00:00,OK,2,0,0,35.82,-97.02,0.0,0.0,1.0,100,1,1,1
