title,studio,lifetime_gross,year
Star Wars: The Force Awakens,Disney,936662225,2015
Avengers: Endgame,Disney,857190335,2019
Avatar,Fox,760507625,2009
Black Panther,Disney,700059566,2018
Avengers: Infinity War,Disney,678815482,2018
Titanic,Paramount,659363944,1997
Jurassic World,Universal,652270625,2015
Marvel's The Avengers,Disney,623357910,2012
Star Wars: The Last Jedi,Disney,620181382,2017
Incredibles 2,Disney,608581744,2018
The Dark Knight,WB,535234033,2008
Rogue One: A Star Wars Story,Disney,532177324,2016
Beauty and the Beast (2017),Disney,504014165,2017
Finding Dory,Disney,486295561,2016
Star Wars: Episode I - The Phantom Menace,Fox,474544677,1999
Avengers: Age of Ultron,Disney,459005868,2015
The Dark Knight Rises,WB,448139099,2012
Shrek 2,DreamWorks,441226247,2004
Captain Marvel ,Disney,426829839,2019
The Hunger Games: Catching Fire,Lionsgate,424668047,2013
Pirates of the Caribbean: Dead Man's Chest,Disney,423315812,2006
The Lion King,Disney,422783777,1994
Jurassic World: Fallen Kingdom,Universal,417719760,2018
Toy Story 3,Disney,415004880,2010
Wonder Woman,WB,412563408,2017
Iron Man 3,Disney,409013994,2013
Captain America: Civil War,Disney,408084349,2016
The Hunger Games,Lionsgate,408010692,2012
Toy Story 4,Disney,404979743,2019
Jumanji: Welcome to the Jungle,Sony,404564861,2017
The Lion King (2019),Disney,403748078,2019
Spider-Man,Sony,403706375,2002
Jurassic Park,Universal,402828120,1993
Transformers: Revenge of the Fallen,Paramount,402111870,2009
Frozen,Disney,400738009,2013
Guardians of the Galaxy Vol. 2,Disney,389813101,2017
Harry Potter and the Deathly Hallows Part 2,WB,381193157,2011
Finding Nemo,Disney,380843261,2003
Star Wars: Episode III - Revenge of the Sith,Fox,380270577,2005
Spider-Man 2,Sony,373585825,2004
The Secret Life of Pets,Universal,368384330,2016
Despicable Me 2,Universal,368061265,2013
The Jungle Book (2016),Disney,364001123,2016
Deadpool,Fox,363070709,2016
Inside Out,Disney,356461711,2015
Spider-Man: Far from Home,Sony,354788925,2019
Furious 7,Universal,353007020,2015
Transformers: Dark of the Moon,Paramount,352390543,2011
American Sniper,WB,350126372,2014
Aladdin (2019),Disney,348926592,2019
Zootopia,Disney,341268248,2016
The Hunger Games: Mockingjay - Part 1,Lionsgate,337135885,2014
Spider-Man 3,Sony,336530303,2007
Minions,Universal,336045770,2015
Aquaman,WB,335061807,2018
Spider-Man: Homecoming,Sony,334201140,2017
Alice in Wonderland (2010),Disney,334191110,2010
Guardians of the Galaxy,Disney,333176600,2014
Forrest Gump,Paramount,330455270,1994
Batman v Superman: Dawn of Justice,WB,330360194,2016
It,WB,327481748,2017
Suicide Squad,WB,325100054,2016
Deadpool 2,Fox,324591735,2018
Shrek the Third,Paramount,322719944,2007
Transformers,Paramount,319246193,2007
Iron Man,Paramount,318412101,2008
Harry Potter and the Sorcerer's Stone,WB,317871467,2001
Indiana Jones and the Kingdom of the Crystal Skull,Paramount,317101119,2008
Thor: Ragnarok,Disney,315058289,2017
Iron Man 2,Paramount,312433331,2010
Star Wars: Episode II - Attack of the Clones,Fox,310676740,2002
Pirates of the Caribbean: At World's End,Disney,309420425,2007
Independence Day,Fox,306169268,1996
Pirates of the Caribbean: The Curse of the Black Pearl,Disney,305413918,2003
Skyfall,Sony,304360277,2012
The Hobbit: An Unexpected Journey,WB,303003568,2012
Harry Potter and the Half-Blood Prince,WB,302089278,2009
The Twilight Saga: Eclipse,Summit,300531751,2010
The Twilight Saga: New Moon,Summit,296623634,2009
Harry Potter and the Deathly Hallows Part 1,WB,296131568,2010
The Sixth Sense,Disney,293506292,1999
Up,Disney,293004164,2009
Inception,WB,292576195,2010
The Twilight Saga: Breaking Dawn Part 2,Lionsgate,292324737,2012
Harry Potter and the Order of the Phoenix,WB,292137260,2007
"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",Disney,291710957,2005
Man of Steel,WB,291045518,2013
Harry Potter and the Goblet of Fire,WB,290201752,2005
"Monsters, Inc.",Disney,289916256,2001
Home Alone,Fox,285761243,1990
The Hunger Games: Mockingjay - Part 2,Lionsgate,281723902,2015
The Matrix Reloaded,WB,281576461,2003
The Twilight Saga: Breaking Dawn Part 1,Summit,281287133,2011
Meet the Fockers,Universal,279261160,2004
The Hangover,WB,277322503,2009
Gravity,WB,274092705,2013
Dr. Seuss' The Grinch (2018),Universal,270620950,2018
Sing,Universal,270395425,2016
Monsters University,Disney,268492764,2013
Shrek,DreamWorks,267665011,2001
Despicable Me 3,Universal,264624300,2017
Harry Potter and the Chamber of Secrets,WB,262233983,2002
The Amazing Spider-Man,Sony,262030663,2012
The Incredibles,Disney,261441092,2004
How the Grinch Stole Christmas,Universal,260044825,2000
Captain America: The Winter Soldier,Disney,259766572,2014
The Hobbit: The Desolation of Smaug,WB,258366855,2013
The LEGO Movie,WB,257760692,2014
Star Trek,Paramount,257730019,2009
I Am Legend,WB,256393010,2007
The Blind Side,WB,255959475,2009
The Hobbit: The Battle of the Five Armies,WB,255119788,2014
The Hangover Part II,WB,254464305,2011
Despicable Me,Universal,251513985,2010
Batman,WB,251348343,1989
Night at the Museum,Fox,250863268,2006
Men in Black,Sony,250690539,1997
Harry Potter and the Prisoner of Azkaban,WB,249759843,2004
Moana,Disney,248757044,2016
Toy Story 2,Disney,245852179,1999
Transformers: Age of Extinction,Paramount,245439076,2014
Cars,Disney,244082982,2006
Bruce Almighty,Universal,242829261,2003
Twister,WB,241721524,1996
Maleficent,Disney,241410378,2014
Pirates of the Caribbean: On Stranger Tides,Disney,241071802,2011
Shrek Forever After,Paramount,238736787,2010
Fast & Furious 6,Universal,238679850,2013
Brave,Disney,237283207,2012
Oz The Great and Powerful,Disney,234911825,2013
X-Men: The Last Stand,Fox,234362462,2006
War of the Worlds,Paramount,234280354,2005
Fantastic Beasts and Where To Find Them,WB,234037575,2016
X-Men: Days of Future Past,Fox,233921534,2014
Cast Away,Fox,233632142,2000
Doctor Strange,Disney,232641920,2016
The Lost World: Jurassic Park,Universal,229086679,1997
Justice League,WB,229024295,2017
Star Trek Into Darkness,Paramount,228778661,2013
The Martian,Fox,228433663,2015
Signs,Disney,227966634,2002
Hancock,Sony,227946274,2008
The Bourne Ultimatum,Universal,227471070,2007
Logan (2017),Fox,226277068,2017
The Fate of the Furious,Universal,226008385,2017
WALL-E,Disney,223808164,2008
Big Hero 6,Disney,222527828,2014
